Date	Source	Source.gear	depth.ft	temp.f
8/13/2012	FISHERIES_DEPTH_OXY	WQ	18	73.94
8/13/2012	FISHERIES_DEPTH_OXY	WQ	21	72.68
8/13/2012	FISHERIES_DEPTH_OXY	WQ	21	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	21	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	21	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	24	72.68
8/13/2012	FISHERIES_DEPTH_OXY	WQ	24	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	24	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	24	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	27	72.68
8/13/2012	FISHERIES_DEPTH_OXY	WQ	27	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	27	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	27	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	30	72.5
8/13/2012	FISHERIES_DEPTH_OXY	WQ	30	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	30	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	30	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	30	82.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	33	72.5
8/13/2012	FISHERIES_DEPTH_OXY	WQ	33	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	33	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	33	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	33	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	36	72.5
8/13/2012	FISHERIES_DEPTH_OXY	WQ	36	73.58
9/4/2012	FISHERIES_ELECTROFISHING	EF	0	68
9/4/2012	FISHERIES_ELECTROFISHING	EF	0	76
9/5/2012	FISHERIES_ELECTROFISHING	EF	0	69
9/9/2012	FISHERIES_ELECTROFISHING	EF	0	67
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	64.04
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	64.58
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	64.76
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	64.94
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	65.12
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	65.3
9/11/2012	FISHERIES_DEPTH_OXY	WQ	0	65.48
9/12/2012	FISHERIES_ELECTROFISHING	EF	0	62
9/13/2012	FISHERIES_ELECTROFISHING	EF	0	60
9/13/2012	FISHERIES_ELECTROFISHING	EF	0	65
5/28/2013	FISHERIES_DEPTH_OXY	WQ	0	47.48
5/28/2013	FISHERIES_DEPTH_OXY	WQ	0	48.74
5/28/2013	FISHERIES_DEPTH_OXY	WQ	0	49.1
5/28/2013	FISHERIES_DEPTH_OXY	WQ	3	47.12
5/28/2013	FISHERIES_DEPTH_OXY	WQ	3	48.02
5/28/2013	FISHERIES_DEPTH_OXY	WQ	3	48.92
5/28/2013	FISHERIES_DEPTH_OXY	WQ	6	47.66
5/28/2013	FISHERIES_DEPTH_OXY	WQ	6	48.74
5/28/2013	FISHERIES_DEPTH_OXY	WQ	6	51.98
5/28/2013	FISHERIES_DEPTH_OXY	WQ	9	46.76
5/28/2013	FISHERIES_DEPTH_OXY	WQ	9	47.3
5/28/2013	FISHERIES_DEPTH_OXY	WQ	9	48.56
5/28/2013	FISHERIES_DEPTH_OXY	WQ	12	46.76
5/28/2013	FISHERIES_DEPTH_OXY	WQ	12	47.12
5/28/2013	FISHERIES_DEPTH_OXY	WQ	12	48.38
5/28/2013	FISHERIES_DEPTH_OXY	WQ	15	46.58
5/28/2013	FISHERIES_DEPTH_OXY	WQ	15	46.76
5/28/2013	FISHERIES_DEPTH_OXY	WQ	15	48.02
5/28/2013	FISHERIES_DEPTH_OXY	WQ	18	46.58
5/28/2013	FISHERIES_DEPTH_OXY	WQ	18	47.84
5/28/2013	FISHERIES_DEPTH_OXY	WQ	21	46.4
5/28/2013	FISHERIES_DEPTH_OXY	WQ	21	46.58
5/28/2013	FISHERIES_DEPTH_OXY	WQ	21	47.66
5/28/2013	FISHERIES_DEPTH_OXY	WQ	24	46.4
5/28/2013	FISHERIES_DEPTH_OXY	WQ	24	47.48
5/28/2013	FISHERIES_DEPTH_OXY	WQ	27	46.4
5/28/2013	FISHERIES_DEPTH_OXY	WQ	27	47.3
5/28/2013	FISHERIES_DEPTH_OXY	WQ	30	46.04
5/28/2013	FISHERIES_DEPTH_OXY	WQ	30	46.22
5/28/2013	FISHERIES_DEPTH_OXY	WQ	32	45.86
5/28/2013	FISHERIES_DEPTH_OXY	WQ	33	42.62
6/17/2013	FISHERIES_DEPTH_OXY	WQ	0	60.98
6/17/2013	FISHERIES_DEPTH_OXY	WQ	0	61.34
6/17/2013	FISHERIES_DEPTH_OXY	WQ	3	60.26
6/17/2013	FISHERIES_DEPTH_OXY	WQ	3	60.8
6/17/2013	FISHERIES_DEPTH_OXY	WQ	6	60.08
6/17/2013	FISHERIES_DEPTH_OXY	WQ	6	60.62
6/17/2013	FISHERIES_DEPTH_OXY	WQ	9	59.9
6/17/2013	FISHERIES_DEPTH_OXY	WQ	9	60.44
6/17/2013	FISHERIES_DEPTH_OXY	WQ	12	59.72
6/17/2013	FISHERIES_DEPTH_OXY	WQ	12	60.26
6/17/2013	FISHERIES_DEPTH_OXY	WQ	15	59.72
6/17/2013	FISHERIES_DEPTH_OXY	WQ	15	60.26
6/17/2013	FISHERIES_DEPTH_OXY	WQ	18	59.54
6/17/2013	FISHERIES_DEPTH_OXY	WQ	18	60.26
6/17/2013	FISHERIES_DEPTH_OXY	WQ	21	58.64
6/17/2013	FISHERIES_DEPTH_OXY	WQ	21	59.72
6/17/2013	FISHERIES_DEPTH_OXY	WQ	24	57.38
6/17/2013	FISHERIES_DEPTH_OXY	WQ	24	57.92
6/17/2013	FISHERIES_DEPTH_OXY	WQ	27	54.5
6/17/2013	FISHERIES_DEPTH_OXY	WQ	27	57.2
6/17/2013	FISHERIES_DEPTH_OXY	WQ	30	53.42
6/17/2013	FISHERIES_DEPTH_OXY	WQ	33	53.06
6/17/2013	FISHERIES_DEPTH_OXY	WQ	35	52.88
7/2/2013	FISHERIES_DEPTH_OXY	WQ	0	70.7
7/2/2013	FISHERIES_DEPTH_OXY	WQ	0	71.24
7/2/2013	FISHERIES_DEPTH_OXY	WQ	0	71.42
7/2/2013	FISHERIES_DEPTH_OXY	WQ	3	68.9
7/2/2013	FISHERIES_DEPTH_OXY	WQ	3	70.16
7/2/2013	FISHERIES_DEPTH_OXY	WQ	3	70.88
7/2/2013	FISHERIES_DEPTH_OXY	WQ	6	68
7/2/2013	FISHERIES_DEPTH_OXY	WQ	6	69.62
7/2/2013	FISHERIES_DEPTH_OXY	WQ	6	70.52
7/2/2013	FISHERIES_DEPTH_OXY	WQ	9	67.64
7/2/2013	FISHERIES_DEPTH_OXY	WQ	9	69.26
7/2/2013	FISHERIES_DEPTH_OXY	WQ	9	70.34
7/2/2013	FISHERIES_DEPTH_OXY	WQ	12	67.46
7/2/2013	FISHERIES_DEPTH_OXY	WQ	12	69.08
7/2/2013	FISHERIES_DEPTH_OXY	WQ	12	70.16
7/2/2013	FISHERIES_DEPTH_OXY	WQ	15	67.28
7/2/2013	FISHERIES_DEPTH_OXY	WQ	15	69.08
7/2/2013	FISHERIES_DEPTH_OXY	WQ	15	69.98
7/2/2013	FISHERIES_DEPTH_OXY	WQ	18	67.1
7/2/2013	FISHERIES_DEPTH_OXY	WQ	18	68.9
7/2/2013	FISHERIES_DEPTH_OXY	WQ	18	69.62
7/2/2013	FISHERIES_DEPTH_OXY	WQ	21	66.74
7/2/2013	FISHERIES_DEPTH_OXY	WQ	21	68.72
7/2/2013	FISHERIES_DEPTH_OXY	WQ	21	68.9
7/2/2013	FISHERIES_DEPTH_OXY	WQ	24	65.66
7/2/2013	FISHERIES_DEPTH_OXY	WQ	24	68.18
7/2/2013	FISHERIES_DEPTH_OXY	WQ	24	68.72
7/2/2013	FISHERIES_DEPTH_OXY	WQ	27	63.14
7/2/2013	FISHERIES_DEPTH_OXY	WQ	27	68
7/2/2013	FISHERIES_DEPTH_OXY	WQ	27	68.54
7/2/2013	FISHERIES_DEPTH_OXY	WQ	30	67.28
7/2/2013	FISHERIES_DEPTH_OXY	WQ	30	68
7/2/2013	FISHERIES_DEPTH_OXY	WQ	32	66.56
7/2/2013	FISHERIES_DEPTH_OXY	WQ	33	67.46
7/2/2013	FISHERIES_DEPTH_OXY	WQ	35	63.32
7/15/2013	FISHERIES_DEPTH_OXY	WQ	0	72.14
7/15/2013	FISHERIES_DEPTH_OXY	WQ	0	73.04
7/15/2013	FISHERIES_DEPTH_OXY	WQ	3	72.14
7/15/2013	FISHERIES_DEPTH_OXY	WQ	3	72.86
7/15/2013	FISHERIES_DEPTH_OXY	WQ	6	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	6	72.14
7/15/2013	FISHERIES_DEPTH_OXY	WQ	6	72.86
7/15/2013	FISHERIES_DEPTH_OXY	WQ	9	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	9	72.5
7/15/2013	FISHERIES_DEPTH_OXY	WQ	12	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	12	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	12	72.14
7/15/2013	FISHERIES_DEPTH_OXY	WQ	15	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	15	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	15	72.14
7/15/2013	FISHERIES_DEPTH_OXY	WQ	18	71.6
7/15/2013	FISHERIES_DEPTH_OXY	WQ	18	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	21	71.6
7/15/2013	FISHERIES_DEPTH_OXY	WQ	21	71.96
7/15/2013	FISHERIES_DEPTH_OXY	WQ	24	71.6
7/15/2013	FISHERIES_DEPTH_OXY	WQ	24	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	27	71.6
7/15/2013	FISHERIES_DEPTH_OXY	WQ	27	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	29	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	30	71.6
7/15/2013	FISHERIES_DEPTH_OXY	WQ	30	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	32	71.42
7/15/2013	FISHERIES_DEPTH_OXY	WQ	33	71.78
7/15/2013	FISHERIES_DEPTH_OXY	WQ	35	71.78
8/13/2013	FISHERIES_DEPTH_OXY	WQ	0	69.08
8/13/2013	FISHERIES_DEPTH_OXY	WQ	0	70.16
8/13/2013	FISHERIES_DEPTH_OXY	WQ	3	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	3	69.98
8/13/2013	FISHERIES_DEPTH_OXY	WQ	6	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	6	69.98
8/13/2013	FISHERIES_DEPTH_OXY	WQ	9	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	9	69.62
8/13/2013	FISHERIES_DEPTH_OXY	WQ	12	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	12	69.62
8/13/2013	FISHERIES_DEPTH_OXY	WQ	15	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	15	69.62
8/13/2013	FISHERIES_DEPTH_OXY	WQ	18	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	18	69.44
8/13/2013	FISHERIES_DEPTH_OXY	WQ	21	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	21	69.44
8/13/2013	FISHERIES_DEPTH_OXY	WQ	24	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	24	69.44
8/13/2013	FISHERIES_DEPTH_OXY	WQ	27	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	27	69.44
8/13/2013	FISHERIES_DEPTH_OXY	WQ	28	69.26
8/13/2013	FISHERIES_DEPTH_OXY	WQ	30	69.44
8/13/2013	FISHERIES_DEPTH_OXY	WQ	33	69.44
9/3/2013	FISHERIES_ELECTROFISHING	EF	0	72
9/4/2013	FISHERIES_ELECTROFISHING	EF	0	71
9/10/2013	FISHERIES_ELECTROFISHING	EF	0	70
9/10/2013	FISHERIES_ELECTROFISHING	EF	0	71
9/10/2013	FISHERIES_ELECTROFISHING	SEF	0	70
9/11/2013	FISHERIES_ELECTROFISHING	EF	0	72
9/13/2013	FISHERIES_ELECTROFISHING	EF	0	65
9/24/2013	FISHERIES_DEPTH_OXY	WQ	0	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	0	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	3	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	6	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	9	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	9	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	12	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	12	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	15	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	15	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	18	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	18	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	21	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	21	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	24	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	24	63.14
9/24/2013	FISHERIES_DEPTH_OXY	WQ	27	62.96
9/24/2013	FISHERIES_DEPTH_OXY	WQ	27	63.14
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	39.56
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	40.1
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	40.28
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	41.36
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	41.72
5/14/2014	FISHERIES_DEPTH_OXY	WQ	0	42.26
5/14/2014	FISHERIES_DEPTH_OXY	WQ	3	40.46
5/14/2014	FISHERIES_DEPTH_OXY	WQ	3	41.72
5/14/2014	FISHERIES_DEPTH_OXY	WQ	3	42.08
5/14/2014	FISHERIES_DEPTH_OXY	WQ	6	40.1
5/14/2014	FISHERIES_DEPTH_OXY	WQ	6	41.54
5/14/2014	FISHERIES_DEPTH_OXY	WQ	6	41.9
5/14/2014	FISHERIES_DEPTH_OXY	WQ	9	40.1
5/14/2014	FISHERIES_DEPTH_OXY	WQ	9	41.36
5/14/2014	FISHERIES_DEPTH_OXY	WQ	9	41.9
5/14/2014	FISHERIES_DEPTH_OXY	WQ	12	39.92
5/14/2014	FISHERIES_DEPTH_OXY	WQ	12	41.36
5/14/2014	FISHERIES_DEPTH_OXY	WQ	12	41.72
5/14/2014	FISHERIES_DEPTH_OXY	WQ	15	39.92
5/14/2014	FISHERIES_DEPTH_OXY	WQ	15	41.18
