"DateTime"	"Depth"	"temp"
2000-05-30	7.299911232	14.04
2000-05-30	8.99989056	14.08
2000-05-30	7.99990272	14.35
1992-10-30	4.9999392	6.91
1992-10-30	5.99992704	6.9
1992-10-30	6.99991488	6.9
1992-10-30	3.99995136	7
1992-10-30	2.99996352	7.09
1992-10-30	1.99997568	7.09
1992-10-30	0.99998784	7.1
1992-10-30	0	7.05
1992-10-30	8.599895424	6.88
1992-10-30	7.99990272	6.9
1992-10-30	2.899964736	6.8
1992-10-30	1.899976896	7.03
1992-10-30	2.199973248	6.97
1992-10-30	1.699979328	6.56
1992-10-30	1.799978112	6.37
1992-10-30	1.49998176	6.62
1992-10-30	8.699894208	6.95
1992-10-30	6.49992096	6.95
1992-10-30	8.99989056	6.87
1992-10-30	9.799880832	6.85
1992-10-30	6.299923392	6.78
1992-10-30	3.199961088	6.36
1992-10-30	2.599968384	6.31
1992-10-30	2.4999696	6.52
1992-10-30	5.699930688	6.87
1992-10-29	0.99998784	7.21
1992-10-29	1.99997568	7.23
1992-10-29	0	7.2
1992-10-29	7.199912448	7.25
1992-10-29	6.99991488	7.23
1992-10-29	5.99992704	7.23
1992-10-29	4.9999392	7.23
1992-10-29	3.99995136	7.23
1992-10-29	2.99996352	7.23
1992-10-29	3.199961088	7.28
1992-10-29	6.199924608	7.16
1992-10-29	3.699955008	7.15
1992-10-29	5.599931904	6.95
1992-10-29	1.799978112	7.43
1992-10-29	9.599883264	7.41
1992-10-29	8.99989056	7.41
1992-10-29	7.99990272	7.43
1992-10-29	4.399946496	7.28
1992-10-29	9.199888128	7.41
1992-10-29	6.899916096	7.44
1992-10-28	2.99996352	7.67
1992-10-28	1.99997568	7.67
1992-10-28	0.99998784	7.67
1992-10-28	0	7.69
1992-10-28	3.699955008	7.51
1992-10-28	3.99995136	7.87
1992-10-28	4.199948928	7.87
1992-10-06	4.799941632	13.49
1992-10-06	3.99995136	13.49
1992-10-06	2.99996352	13.53
1992-10-06	1.99997568	13.53
1992-10-06	0.99998784	13.54
1992-10-06	0	13.54
1992-10-06	3.299959872	13.76
1992-10-06	5.599931904	13.72
1992-10-06	4.9999392	13.72
1992-10-06	9.199888128	13.56
1992-10-06	8.99989056	13.56
1992-10-06	7.99990272	13.56
1992-10-06	6.99991488	13.56
1992-10-05	3.699955008	14.45
1992-10-05	2.99996352	14.47
1992-10-05	1.99997568	14.49
1992-10-05	0.99998784	14.45
1992-10-05	0	14.5
1992-10-05	2.599968384	14.25
1992-10-05	5.599931904	13.99
1992-10-05	4.9999392	14.14
1992-10-05	3.99995136	14.15
1992-10-05	8.699894208	13.56
1992-10-05	7.99990272	13.59
1992-10-05	6.99991488	13.59
1992-09-29	5.99992704	12
1992-09-29	4.9999392	12
1992-09-29	3.99995136	12
1992-09-29	2.99996352	12
1992-09-29	1.99997568	12
1992-09-29	0.99998784	12
1992-09-14	3.699955008	16.5
1992-09-14	2.99996352	16.72
1992-09-14	1.99997568	16.99
1992-09-14	0.99998784	17.48
1992-09-14	0	17.79
1992-09-14	3.799953792	16.32
1992-09-14	6.799917312	16.47
1992-09-14	5.99992704	16.47
1992-09-14	4.9999392	16.5
1992-09-14	3.99995136	16.57
1992-09-14	3.599956224	16.12
1992-09-14	2.199973248	16.67
1992-09-14	5.699930688	16.49
